#Date        Time         gpu     sm    mem    enc    dec    jpg    ofa   mclk   pclk  rxpci  txpci 
#YYYYMMDD    HH:MM:SS     Idx      %      %      %      %      %      %    MHz    MHz   MB/s   MB/s 
 20260527    14:41:39       0      2      2      0    100      0      0  10251   2670    442    327 
 20260527    14:41:40       0      2      2      1    100      0      0  10251   2670    106    314 
 20260527    14:41:42       0      3      2      1    100      0      0  10251   2670    117    294 
 20260527    14:41:43       0      2      2      0    100      0      0  10251   2670    108    312 
 20260527    14:41:44       0      2      2      0    100      0      0  10251   2670    170    292 
 20260527    14:41:45       0      2      2      0    100      0      0  10251   2670    148    289 
 20260527    14:41:46       0      3      2      0    100      0      0  10251   2670    125    332 
 20260527    14:41:47       0      2      2      0    100      0      0  10251   2670    121    313 
 20260527    14:41:48       0      3      2      1    100      0      0  10251   2670    100    349 
 20260527    14:41:49       0      3      2      0    100      0      0  10251   2670     72    334 
 20260527    14:41:50       0      3      2      0    100      0      0  10251   2670     81    360 
 20260527    14:41:51       0      2      1      0    100      0      0  10251   2670    152    291 
 20260527    14:41:52       0      2      1      1    100      0      0  10251   2670    152    271 
 20260527    14:41:53       0      2      1      0    100      0      0  10251   2670    142    303 
 20260527    14:41:54       0      3      2      0    100      0      0  10251   2670    124    346 
 20260527    14:41:55       0      2      1      0    100      0      0  10251   2670    125    344 
 20260527    14:41:57       0      2      2      1    100      0      0  10251   2670    145    273 
 20260527    14:41:58       0      3      2      0    100      0      0  10251   2670     91    330 
 20260527    14:41:59       0      3      2      1    100      0      0  10251   2670    172    272 
#Date        Time         gpu     sm    mem    enc    dec    jpg    ofa   mclk   pclk  rxpci  txpci 
#YYYYMMDD    HH:MM:SS     Idx      %      %      %      %      %      %    MHz    MHz   MB/s   MB/s 
 20260527    14:42:00       0      2      1      0    100      0      0  10251   2670    149    315 
 20260527    14:42:01       0      2      1      0    100      0      0  10251   2670    161    271 
 20260527    14:42:02       0      3      2      0    100      0      0  10251   2670    163    297 
 20260527    14:42:03       0      2      2      1    100      0      0  10251   2670    176    255 
 20260527    14:42:04       0      2      1      0    100      0      0  10251   2670    160    295 
 20260527    14:42:05       0      2      1      1    100      0      0  10251   2670    163    287 
 20260527    14:42:06       0      3      2      0    100      0      0  10251   2670    183    272 
 20260527    14:42:07       0      2      2      0    100      0      0  10251   2670    164    273 
 20260527    14:42:08       0      2      1      0    100      0      0  10251   2670    169    272 
 20260527    14:42:09       0      2      1      1    100      0      0  10251   2670    188    273 
 20260527    14:42:11       0      2      1      0    100      0      0  10251   2670    138    295 
 20260527    14:42:12       0      2      1      1    100      0      0  10251   2670    152    306 
 20260527    14:42:13       0      2      1      0    100      0      0  10251   2670    146    312 
 20260527    14:42:14       0      3      2      0    100      0      0  10251   2670     93    330 
